time;datacenter_id;datacenter_name;host_id;type;active;number_of_pes;available_pes;mips;available_mips;utilization_per_pe;dvfs_available;frequency_range;voltage_range;cpu_power;ram;available_ram;bw;available_bw;storage;available_storage;power_model;vms
300.01;2;Datacenter_1;0;host;true;2;0;6000;2387.3658765866667;3000.0,0.0:3000.0,2387.3658765866667:;false;;1.200-1.3375;147.12634123413335;4000;17.0;10000;9838.0;160000;151000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,425.0,20.0:2,433.04793488,441.0,21.0:2,397.93594016000003,525.0,20.0:2,390.1332746666667,346.0,19.0:2,413.5412711466667,408.0,17.0:2,370.6266109333334,682.0,19.0:2,394.03460741333333,447.0,18.0:2,429.1466021333334,352.0,19.0:2,390.1332746666667,357.0,9.0:
600.01;2;Datacenter_1;0;host;true;2;0;6000;2387.3658765866667;3000.0,0.0:3000.0,2387.3658765866667:;false;;1.200-1.3375;147.12634123413335;4000;17.0;10000;9838.0;160000;151000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,425.0,20.0:2,433.04793488,441.0,21.0:2,397.93594016000003,525.0,20.0:2,390.1332746666667,346.0,19.0:2,413.5412711466667,408.0,17.0:2,370.6266109333334,682.0,19.0:2,394.03460741333333,447.0,18.0:2,429.1466021333334,352.0,19.0:2,390.1332746666667,357.0,9.0:
900.01;2;Datacenter_1;0;host;true;2;0;6000;2387.3658765866667;3000.0,0.0:3000.0,2387.3658765866667:;false;;1.200-1.3375;147.12634123413335;4000;17.0;10000;9838.0;160000;151000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,425.0,20.0:2,433.04793488,441.0,21.0:2,397.93594016000003,525.0,20.0:2,390.1332746666667,346.0,19.0:2,413.5412711466667,408.0,17.0:2,370.6266109333334,682.0,19.0:2,394.03460741333333,447.0,18.0:2,429.1466021333334,352.0,19.0:2,390.1332746666667,357.0,9.0:
1200.01;2;Datacenter_1;0;host;true;2;0;6000;2387.3658765866667;3000.0,0.0:3000.0,2387.3658765866667:;false;;1.200-1.3375;147.12634123413335;4000;17.0;10000;9838.0;160000;151000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,425.0,20.0:2,433.04793488,441.0,21.0:2,397.93594016000003,525.0,20.0:2,390.1332746666667,346.0,19.0:2,413.5412711466667,408.0,17.0:2,370.6266109333334,682.0,19.0:2,394.03460741333333,447.0,18.0:2,429.1466021333334,352.0,19.0:2,390.1332746666667,357.0,9.0:
1500.01;2;Datacenter_1;0;host;true;2;0;6000;2387.3658765866667;3000.0,0.0:3000.0,2387.3658765866667:;false;;1.200-1.3375;147.12634123413335;4000;17.0;10000;9838.0;160000;151000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,425.0,20.0:2,433.04793488,441.0,21.0:2,397.93594016000003,525.0,20.0:2,390.1332746666667,346.0,19.0:2,413.5412711466667,408.0,17.0:2,370.6266109333334,682.0,19.0:2,394.03460741333333,447.0,18.0:2,429.1466021333334,352.0,19.0:2,390.1332746666667,357.0,9.0:
1800.01;2;Datacenter_1;0;host;true;2;0;6000;2387.3658765866667;3000.0,0.0:3000.0,2387.3658765866667:;false;;1.200-1.3375;147.12634123413335;4000;17.0;10000;9838.0;160000;151000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,425.0,20.0:2,433.04793488,441.0,21.0:2,397.93594016000003,525.0,20.0:2,390.1332746666667,346.0,19.0:2,413.5412711466667,408.0,17.0:2,370.6266109333334,682.0,19.0:2,394.03460741333333,447.0,18.0:2,429.1466021333334,352.0,19.0:2,390.1332746666667,357.0,9.0:
2100.01;2;Datacenter_1;0;host;true;2;0;6000;2387.3658765866667;3000.0,0.0:3000.0,2387.3658765866667:;false;;1.200-1.3375;147.12634123413335;4000;17.0;10000;9838.0;160000;151000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,425.0,20.0:2,433.04793488,441.0,21.0:2,397.93594016000003,525.0,20.0:2,390.1332746666667,346.0,19.0:2,413.5412711466667,408.0,17.0:2,370.6266109333334,682.0,19.0:2,394.03460741333333,447.0,18.0:2,429.1466021333334,352.0,19.0:2,390.1332746666667,357.0,9.0:
2400.01;2;Datacenter_1;0;host;true;2;0;6000;2387.3658765866667;3000.0,0.0:3000.0,2387.3658765866667:;false;;1.200-1.3375;147.12634123413335;4000;17.0;10000;9838.0;160000;151000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,425.0,20.0:2,433.04793488,441.0,21.0:2,397.93594016000003,525.0,20.0:2,390.1332746666667,346.0,19.0:2,413.5412711466667,408.0,17.0:2,370.6266109333334,682.0,19.0:2,394.03460741333333,447.0,18.0:2,429.1466021333334,352.0,19.0:2,390.1332746666667,357.0,9.0:
2700.01;2;Datacenter_1;0;host;true;2;0;6000;2387.3658765866667;3000.0,0.0:3000.0,2387.3658765866667:;false;;1.200-1.3375;147.12634123413335;4000;17.0;10000;9838.0;160000;151000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,425.0,20.0:2,433.04793488,441.0,21.0:2,397.93594016000003,525.0,20.0:2,390.1332746666667,346.0,19.0:2,413.5412711466667,408.0,17.0:2,370.6266109333334,682.0,19.0:2,394.03460741333333,447.0,18.0:2,429.1466021333334,352.0,19.0:2,390.1332746666667,357.0,9.0:
3000.01;2;Datacenter_1;0;host;true;2;0;6000;2387.3658765866667;3000.0,0.0:3000.0,2387.3658765866667:;false;;1.200-1.3375;147.12634123413335;4000;17.0;10000;9838.0;160000;151000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,425.0,20.0:2,433.04793488,441.0,21.0:2,397.93594016000003,525.0,20.0:2,390.1332746666667,346.0,19.0:2,413.5412711466667,408.0,17.0:2,370.6266109333334,682.0,19.0:2,394.03460741333333,447.0,18.0:2,429.1466021333334,352.0,19.0:2,390.1332746666667,357.0,9.0:
